iter	RMSE
474	2784.148013
475	2782.603249
476	2780.524532
477	2780.348435
478	2778.826797
479	2777.584485
480	2776.39095
481	2775.159756
482	2771.608233
483	2768.187784
484	2767.005084
485	2766.852289
486	2761.958922
487	2759.501009
488	2755.541281
489	2754.034397
490	2753.097195
491	2752.017937
492	2750.199895
493	2746.54303
494	2743.542447
495	2742.549159
496	2741.807007
497	2741.131384
498	2740.060052
499	2737.219088
