iter	Passed	Remaining
201	706	2792
202	709	2785
203	711	2776
204	713	2765
205	715	2756
206	717	2746
207	719	2737
208	722	2734
209	724	2725
210	728	2723
211	730	2715
212	733	2708
213	735	2699
214	737	2691
215	740	2686
216	742	2679
217	745	2672
218	750	2677
219	754	2673
220	756	2666
221	758	2658
222	763	2659
223	766	2654
224	776	2673
225	779	2667
226	782	2664
227	785	2659
228	788	2655
229	790	2648
230	793	2640
231	795	2632
232	798	2629
233	800	2621
234	803	2616
235	805	2608
236	808	2601
237	810	2595
238	812	2587
239	814	2580
240	817	2576
241	820	2569
242	824	2569
243	828	2566
244	830	2557
245	831	2549
246	833	2541
247	835	2534
248	837	2526
249	839	2519
250	842	2513
251	844	2505
252	847	2501
253	848	2493
254	850	2485
255	852	2478
256	854	2470
257	856	2463
258	858	2455
259	860	2448
260	862	2440
261	863	2432
262	865	2426
263	867	2418
264	869	2410
265	871	2403
266	872	2396
267	874	2388
268	876	2380
269	877	2373
270	879	2365
271	880	2357
272	882	2349
273	884	2342
274	885	2334
275	887	2327
276	888	2319
277	890	2312
278	891	2304
279	893	2296
280	894	2289
281	896	2282
282	898	2275
283	899	2267
284	902	2263
285	903	2256
286	906	2251
287	910	2250
288	912	2246
289	914	2239
290	916	2232
291	917	2225
292	919	2218
293	921	2211
294	922	2205
295	924	2198
296	929	2200
297	931	2193
298	935	2192
299	936	2185
300	938	2179
301	940	2174
302	942	2168
303	944	2161
304	946	2155
305	947	2149
306	948	2142
307	950	2135
308	953	2133
309	955	2126
310	956	2119
311	958	2114
312	961	2109
313	962	2103
314	965	2098
315	966	2091
316	967	2085
317	969	2079
318	972	2075
319	973	2069
320	976	2065
321	978	2059
322	979	2053
323	981	2047
324	983	2042
325	985	2037
326	986	2030
327	988	2025
328	990	2019
329	991	2013
330	993	2007
331	995	2003
332	997	1997
333	998	1991
334	1000	1985
335	1002	1980
336	1003	1974
337	1005	1969
338	1007	1964
339	1009	1959
340	1010	1953
341	1012	1948
342	1014	1943
343	1015	1937
344	1017	1932
345	1019	1927
346	1021	1921
347	1022	1916
348	1024	1910
349	1026	1906
350	1028	1901
351	1029	1895
352	1031	1890
353	1033	1885
354	1034	1880
355	1036	1874
356	1038	1869
357	1039	1864
358	1041	1858
359	1042	1853
360	1044	1849
361	1046	1843
362	1047	1838
363	1049	1833
364	1051	1829
365	1056	1830
366	1058	1826
367	1060	1821
368	1062	1817
369	1064	1812
370	1066	1807
371	1067	1802
372	1070	1798
373	1071	1794
374	1073	1789
375	1075	1785
376	1077	1780
377	1078	1774
378	1080	1769
379	1082	1765
380	1083	1760
381	1085	1755
382	1087	1751
383	1088	1746
384	1093	1746
385	1096	1744
386	1097	1738
387	1099	1734
388	1101	1729
389	1102	1724
390	1103	1719
391	1105	1715
392	1107	1710
393	1108	1705
394	1110	1700
395	1112	1696
396	1113	1691
397	1115	1687
398	1116	1682
399	1118	1678
400	1120	1673
401	1122	1669
402	1123	1664
403	1125	1660
404	1127	1655
405	1128	1651
406	1130	1647
407	1132	1643
408	1133	1638
409	1135	1633
410	1137	1629
411	1138	1625
412	1140	1620
413	1141	1615
414	1143	1612
415	1145	1607
416	1148	1605
417	1150	1601
418	1151	1597
419	1153	1592
420	1155	1588
421	1156	1584
422	1158	1580
423	1161	1577
424	1162	1573
425	1164	1568
426	1165	1564
427	1167	1559
428	1168	1555
429	1170	1551
430	1172	1547
431	1173	1543
432	1175	1538
433	1176	1534
434	1178	1530
435	1180	1526
436	1181	1522
437	1182	1517
438	1184	1513
439	1186	1509
